"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"22.09.2025","17,95","18,75","18,77","17,95","20,74M","-5,38%"
"19.09.2025","18,97","19,51","19,54","18,41","26,92M","-11,52%"
"18.09.2025","21,44","22,21","22,49","21,41","11,06M","-2,68%"
"17.09.2025","22,03","22,15","22,53","21,81","8,07M","-0,54%"
"16.09.2025","22,15","21,23","22,15","21,21","12,45M","16,62%"
"15.09.2025","18,99","19,11","19,32","18,93","24,13M","0,53%"
"12.09.2025","18,89","18,60","19,12","18,60","10,78M","-8,55%"
"11.09.2025","20,66","20,45","21,08","20,42","7,44M","2,08%"
"10.09.2025","20,24","19,83","20,37","19,53","6,77M","2,79%"
"09.09.2025","19,69","19,10","19,85","18,91","11,26M","4,12%"
"08.09.2025","18,91","19,86","19,90","18,91","5,13M","-4,35%"
"05.09.2025","19,77","19,99","20,08","19,44","12,73M","-0,65%"
"04.09.2025","19,90","19,88","20,09","19,75","6,54M","0,00%"
"03.09.2025","19,90","19,74","20,10","19,34","12,70M","0,86%"
"02.09.2025","19,73","20,05","20,11","19,70","188,85M","-1,99%"
"01.09.2025","20,13","20,49","21,14","20,13","3,20M","-2,42%"
"29.08.2025","20,63","19,87","20,78","19,79","14,01M","3,62%"
"28.08.2025","19,91","19,90","20,27","19,78","5,38M","-0,05%"
"27.08.2025","19,92","19,75","19,92","19,64","6,21M","0,45%"
"26.08.2025","19,83","19,79","19,94","19,49","7,70M","-0,25%"
"25.08.2025","19,88","19,90","19,94","19,67","6,52M","-0,05%"
"22.08.2025","19,89","19,68","19,97","19,61","8,44M","0,10%"
"21.08.2025","19,87","19,62","19,90","19,22","5,78M","0,20%"
"20.08.2025","19,83","19,93","19,93","19,20","6,77M","-0,35%"
"19.08.2025","19,90","19,64","19,95","19,32","5,57M","0,00%"
"18.08.2025","19,90","19,93","20,09","19,69","5,90M","-0,15%"
"15.08.2025","19,93","19,02","20,19","18,68","9,01M","5,62%"
"14.08.2025","18,87","18,60","18,87","18,32","4,10M","0,00%"
"13.08.2025","18,87","19,13","19,21","18,59","4,77M","-1,87%"
"12.08.2025","19,23","19,31","19,60","19,08","5,29M","0,16%"
"11.08.2025","19,20","19,42","19,57","19,00","4,01M","-1,29%"
"08.08.2025","19,45","19,59","20,15","19,33","4,90M","-0,71%"
"07.08.2025","19,59","19,57","19,77","19,41","2,13M","0,10%"
"06.08.2025","19,57","19,50","19,65","19,21","3,36M","1,14%"
"05.08.2025","19,35","19,66","20,00","19,04","5,86M","-1,43%"
"04.08.2025","19,63","20,50","20,91","19,50","6,75M","-3,40%"
"01.08.2025","20,32","20,30","21,55","19,74","9,66M","1,35%"
"31.07.2025","20,05","21,09","21,09","20,05","7,45M","-5,65%"
"30.07.2025","21,25","20,65","21,55","20,59","4,00M","2,46%"
"29.07.2025","20,74","21,00","21,00","20,67","1,33M","-0,14%"
"28.07.2025","20,77","20,99","21,08","20,74","1,93M","-0,57%"
"25.07.2025","20,89","21,18","21,21","20,88","1,98M","-0,95%"
"24.07.2025","21,09","21,60","21,62","20,99","2,42M","-3,03%"
"23.07.2025","21,75","21,85","22,00","21,48","2,51M","-1,85%"
"22.07.2025","22,16","21,35","22,16","21,20","4,72M","3,55%"
"21.07.2025","21,40","20,40","21,62","20,28","3,55M","4,90%"
"18.07.2025","20,40","20,41","20,57","20,10","11,31M","-0,92%"
"17.07.2025","20,59","20,76","20,84","20,51","2,93M","-0,96%"
"16.07.2025","20,79","21,01","21,10","20,48","3,93M","-1,00%"
"15.07.2025","21,00","20,90","21,21","20,69","4,60M","0,00%"
"14.07.2025","21,00","21,92","21,93","20,56","11,00M","-4,55%"
"11.07.2025","22,00","22,74","22,83","21,86","11,19M","-4,35%"
"10.07.2025","23,00","21,90","23,15","21,61","38,78M","2,22%"
"09.07.2025","22,50","22,07","23,17","21,48","50,04M","1,67%"
"08.07.2025","22,13","21,50","22,19","21,33","24,02M","1,93%"
"07.07.2025","21,71","19,75","21,71","19,62","22,32M","9,37%"
"04.07.2025","19,85","19,15","19,85","18,86","6,21M","3,44%"
"03.07.2025","19,19","19,67","19,74","19,19","5,03M","-2,19%"
"02.07.2025","19,62","20,00","20,01","19,62","3,98M","-1,90%"
"01.07.2025","20,00","20,21","20,21","19,62","9,34M","-0,70%"
"30.06.2025","20,14","19,87","20,34","19,62","4,51M","1,21%"
"27.06.2025","19,90","19,91","19,92","19,48","5,95M","-1,00%"
"26.06.2025","20,10","20,00","20,19","19,81","3,42M","0,45%"
"25.06.2025","20,01","20,75","20,79","19,97","6,23M","-3,57%"
"24.06.2025","20,75","21,79","21,79","20,75","6,33M","-4,64%"
"23.06.2025","21,76","20,54","21,92","20,25","10,56M","4,67%"
"20.06.2025","20,79","20,65","20,79","19,83","26,17M","-0,62%"
"18.06.2025","20,92","20,42","21,55","20,05","30,60M","2,10%"
"17.06.2025","20,49","20,55","20,65","19,62","17,65M","-0,05%"
"16.06.2025","20,50","21,17","21,50","20,19","9,89M","-2,38%"
"13.06.2025","21,00","20,55","21,02","20,09","10,33M","1,50%"
"12.06.2025","20,69","21,22","21,30","20,32","10,50M","-3,14%"
"11.06.2025","21,36","21,51","21,62","21,22","5,62M","-0,70%"
"10.06.2025","21,51","21,15","21,63","21,09","10,99M","2,43%"
"09.06.2025","21,00","20,47","21,07","20,34","7,38M","2,34%"
"06.06.2025","20,52","20,52","20,84","20,38","4,53M","0,10%"
"05.06.2025","20,50","20,45","20,65","20,27","5,26M","0,00%"
"04.06.2025","20,50","20,65","20,77","20,33","9,39M","0,00%"
"03.06.2025","20,50","20,45","20,86","20,45","4,58M","0,00%"
"02.06.2025","20,50","20,35","20,66","20,09","8,24M","0,99%"
"30.05.2025","20,30","20,58","20,70","20,24","5,00M","-1,26%"
"29.05.2025","20,56","20,27","20,74","20,09","6,89M","0,83%"
"28.05.2025","20,39","20,64","20,88","20,15","8,83M","-0,83%"
"27.05.2025","20,56","21,70","21,70","20,50","9,75M","-3,52%"
"26.05.2025","21,31","21,44","21,53","20,97","2,67M","-0,51%"
"23.05.2025","21,42","21,43","21,63","20,78","14,11M","0,00%"
"22.05.2025","21,42","21,14","21,68","21,05","14,23M","1,81%"
"21.05.2025","21,04","21,10","21,70","20,95","11,77M","0,19%"
"20.05.2025","21,00","20,67","21,54","20,66","10,21M","2,44%"
"19.05.2025","20,50","20,05","20,81","20,04","12,41M","-1,35%"
"16.05.2025","20,78","19,50","20,91","19,24","43,36M","0,78%"
"15.05.2025","20,62","19,86","21,13","19,80","16,88M","4,78%"
"14.05.2025","19,68","20,35","21,06","19,54","11,29M","-2,57%"
"13.05.2025","20,20","19,90","20,42","19,62","9,70M","2,49%"
"12.05.2025","19,71","19,37","19,77","18,99","8,38M","2,66%"
"09.05.2025","19,20","20,31","20,57","19,20","8,78M","-5,84%"
"08.05.2025","20,39","20,61","20,95","20,20","8,27M","0,64%"
"07.05.2025","20,26","20,47","20,49","19,93","5,17M","-0,44%"
"06.05.2025","20,35","21,50","21,63","20,17","10,50M","-5,08%"
"05.05.2025","21,44","22,59","22,59","21,14","7,52M","-4,54%"
"02.05.2025","22,46","22,55","22,70","22,11","5,56M","-1,06%"
"30.04.2025","22,70","22,73","22,88","22,49","5,62M","-0,22%"
"29.04.2025","22,75","22,77","23,04","22,70","6,05M","0,22%"
"28.04.2025","22,70","23,05","23,31","22,62","8,70M","-0,87%"
"25.04.2025","22,90","22,14","23,07","22,07","10,86M","4,04%"
"24.04.2025","22,01","21,78","22,28","21,56","8,69M","2,42%"
"23.04.2025","21,49","22,00","22,20","21,49","7,53M","-1,33%"
"22.04.2025","21,78","21,38","21,97","21,14","9,93M","2,98%"
"17.04.2025","21,15","20,73","21,58","20,58","7,66M","2,27%"
"16.04.2025","20,68","20,48","21,25","20,45","9,15M","0,05%"
"15.04.2025","20,67","20,40","20,78","20,33","4,40M","1,27%"
"14.04.2025","20,41","20,86","20,98","20,32","5,40M","-0,63%"
"11.04.2025","20,54","20,48","21,00","20,26","4,91M","0,93%"
"10.04.2025","20,35","20,31","21,12","20,07","5,05M","-1,02%"
"09.04.2025","20,56","18,93","20,99","18,85","9,42M","7,87%"
