"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","47.16","47.50","47.52","46.45","34.84M","-1.28%"
"04/23/2026","47.77","47.36","48.08","46.90","38.60M","1.60%"
"04/22/2026","47.02","46.99","47.32","46.60","50.92M","1.38%"
"04/20/2026","46.38","46.59","46.83","45.87","41.78M","1.73%"
"04/17/2026","45.59","45.86","45.91","44.26","104.97M","-4.86%"
"04/16/2026","47.92","46.64","48.01","46.12","54.40M","2.19%"
"04/15/2026","46.89","47.95","48.10","46.73","61.78M","-2.07%"
"04/14/2026","47.88","49.61","49.65","47.67","58.34M","-3.82%"
"04/13/2026","49.78","49.75","50.24","49.25","60.87M","1.53%"
"04/10/2026","49.03","47.53","49.03","47.53","42.73M","2.36%"
"04/09/2026","47.90","47.54","48.55","47.03","58.12M","2.77%"
"04/08/2026","46.61","44.70","46.64","44.53","87.47M","-3.92%"
"04/07/2026","48.51","49.09","49.56","48.40","33.21M","-0.88%"
"04/06/2026","48.94","47.99","49.00","47.88","27.67M","1.64%"
"04/02/2026","48.15","49.30","49.46","47.94","38.48M","1.65%"
"04/01/2026","47.37","47.70","48.07","46.77","66.24M","-2.67%"
"03/31/2026","48.67","50.07","50.55","47.65","78.79M","-2.01%"
"03/30/2026","49.67","49.75","50.69","49.49","51.33M","0.53%"
"03/27/2026","49.41","48.50","49.44","48.13","54.06M","2.89%"
"03/26/2026","48.02","47.60","48.47","47.52","59.83M","1.09%"
"03/25/2026","47.50","46.50","47.55","46.30","40.47M","0.49%"
