"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2025","54.25","54.71","55.10","54.23","17.62M","-0.55%"
"01/03/2025","53.24","53.90","54.00","52.88","23.60M","-1.86%"
"01/06/2025","52.56","53.48","53.79","52.48","21.69M","-1.28%"
"01/07/2025","52.05","52.63","52.89","51.94","22.07M","-0.97%"
"01/08/2025","51.55","52.03","52.29","51.43","24.42M","-0.96%"
"01/09/2025","51.23","52.05","52.25","51.14","15.87M","-0.62%"
"01/10/2025","51.52","51.54","52.31","51.23","25.83M","0.57%"
"01/13/2025","51.51","52.00","52.31","50.87","30.85M","-0.02%"
"01/14/2025","51.85","51.95","52.43","51.63","21.38M","0.66%"
"01/15/2025","52.60","52.14","52.68","51.63","35.14M","1.45%"
"01/16/2025","52.67","52.29","53.27","52.00","220.26M","0.13%"
"01/17/2025","54.49","53.15","54.49","52.98","54.27M","3.46%"
"01/20/2025","54.29","54.22","54.49","53.76","12.32M","-0.37%"
"01/21/2025","54.02","54.29","54.32","53.25","28.80M","-0.50%"
"01/22/2025","52.66","54.28","54.29","52.42","34.65M","-2.52%"
"01/23/2025","52.32","52.95","52.99","51.84","25.10M","-0.65%"
"01/24/2025","53.03","52.60","53.19","52.60","20.49M","1.36%"
"01/27/2025","53.96","52.89","53.98","52.57","24.53M","1.75%"
"01/28/2025","52.65","53.59","53.78","52.54","22.93M","-2.43%"
"01/29/2025","52.80","52.80","53.51","52.63","19.22M","0.28%"
"01/30/2025","55.03","53.30","55.60","53.28","40.56M","4.22%"
"01/31/2025","54.17","54.99","55.21","54.00","25.46M","-1.56%"
"02/03/2025","54.21","53.73","54.28","53.33","27.22M","0.07%"
"02/04/2025","54.02","54.13","54.71","53.81","32.65M","-0.35%"
"02/05/2025","54.31","53.91","54.46","53.86","21.67M","0.54%"
"02/06/2025","55.13","55.40","55.64","54.97","32.79M","1.51%"
"02/07/2025","54.83","55.30","55.78","54.56","24.39M","-0.54%"
"02/10/2025","55.40","54.87","55.40","54.84","15.57M","1.04%"
